"PROV_YEAR","FSIZE","WAGES","NETSHARE","CASH_ABROAD","CASH_DOMESTIC","RENTALS_REC","INTEREST","PENSION","DIVIDENDS","OTHER_SOURCE","NET_RECEIPT","REGFT","NET_CFG","NET_LPR","NET_FISH","NET_FOR","NET_RET","NET_MFG","NET_COM","NET_TRANS","NET_MIN","NET_CONS","NET_NEC","EAINC","TOINC","BREAD","MEAT","FISH","MILK","FOOD_NEC","COFFEE","MINERAL","ALCOHOL","TOBACCO","FOOD_HOME","FOOD_OUTSIDE","FOOD","CLOTH","FURNISHING","HEALTH","HOUSING_WATER","RECREATION","EDUCATION","OTHER_EXPENDITURE","OTHER_DISBURSEMENT","NFOOD","TOTEX","TOTDIS","OTHREC","TOREC","FRUITVEG","TRCOM","HHI"
"BATANES_2006",5.39285714285714,192387.071428571,920.357142857143,2857.14285714286,3764.28571428571,1520,71.4285714285714,11686.2857142857,0,0,7388.5,12976.4285714286,9564.21428571429,5845.21428571429,3576,2503.28571428571,2346.42857142857,0,0,0,0,0,0,23835.1428571429,266963.785714286,16767.2142857143,7747.5,11998.7857142857,5710.07142857143,11146.7857142857,6179.21428571429,1526,838,2094.28571428571,2661.5,64085.4285714286,1148.57142857143,65234,4622.92857142857,208,1106.78571428571,11238.4285714286,12482.5714285714,1921.07142857143,33689.7142857143,13266,36869.2142857143,126151.428571429,191385.428571429,228254.642857143,13500,293945.785714286,170.132325141777
"BATANGAS_2006",4.73694516971279,79862.1292428199,611.049608355091,28039.7780678851,6137.68276762402,561.357702349869,7.9242819843342,2344.12793733681,59.2689295039164,25.2610966057441,2277.81201044386,3860.3315926893,2325.51566579634,4479.12793733681,3034.94125326371,70.434725848564,13492.7362924282,1599.46475195822,2333.69582245431,4725.27415143603,0,342.819843342037,516.890339425588,32920.9007832898,176099.765013055,15095.3302872063,8384.4725848564,5648.2911227154,3722.38381201044,3444.15404699739,5222.45300261097,1569.29373368146,1215.20757180157,479.29634464752,2013.56788511749,44494.817232376,12289.0287206266,56783.8459530026,4049.27154046997,203.304177545692,5424.42950391645,12577.9347258486,13181.1070496084,770.926892950392,9917.35378590078,6016.19582245431,16435.9921671018,101651.938642298,158435.7845953,174871.776762402,3390.77676240209,191283.571801567,58.21854912764
"BENGUET_2006",4.81017770597738,95378.239095315,1318.46849757674,29434.9531502423,10484.6704361874,6389.33764135703,546.441033925687,5584.02100161551,56.5428109854604,807.754442649435,1378.18416801292,7568.7140549273,24467.6252019386,1554.04038772213,0,89.2762520193861,20550.0161550889,1689.77382875606,3659.27302100162,12745.3570274637,1438.08723747981,10326.8820678514,4282.31017770598,80798.4410339257,271328.642972536,17466.6655896607,17624.2164781906,8688.94991922455,6259.1647819063,10020.7705977383,5719.60096930533,2102.64297253635,2505.52665589661,1131.36187399031,1054.73021001616,71793.47819063,9181.41680129241,80974.8949919225,4130.70920840065,210.70113085622,5758.11470113086,14832.436187399,17758.8465266559,1845.35541195477,13592.8432956381,4579.86106623586,21711.1647819063,125686.033925687,206660.928917609,228372.093699515,8246.57350565428,289503.49273021,66.4957538855953
"BILIRAN_2006",4.95495495495495,57957.5495495495,1882.77477477477,15332.0540540541,6765.76576576577,1743.24324324324,20.1081081081081,15561.2252252252,142.612612612613,0,2192.16216216216,7278.51351351351,6838.26126126126,1849.52252252252,9884.78378378378,328.324324324324,13076.8468468468,4452.09009009009,1665.32432432432,2844.43243243243,0,450.45045045045,2797.02702702703,44056.0720720721,166586.675675676,17672.1441441441,5727.57657657658,10827.3153153153,4455.58558558559,4610.46846846847,3956.07207207207,1336.57657657658,1539.89189189189,758.054054054054,713.801801801802,51079.2612612613,2478.84684684685,53558.1081081081,3377.84684684685,369.423423423423,6608.63963963964,8171.78378378378,6835.51351351351,523.693693693694,7196.76576576577,5888.93693693694,39345.0900900901,78081.6576576577,131639.765765766,170984.855855856,10674.9009009009,188150.882882883,150.947953145755
"BOHOL_2006",4.77096774193548,37008.6107526882,1114.23870967742,21880.3225806452,7144.49892473118,428.236559139785,161.879569892473,6414.03870967742,212.47311827957,0,2619.7376344086,3750.97204301075,9081.28172043011,1115.41505376344,4833.37419354839,185.677419354839,8008.41075268817,836.440860215054,1257.58279569892,1795.08387096774,328,108.602150537634,926.440860215054,28476.3096774194,115745.898924731,16670.4322580645,4718.05591397849,8744.08172043011,3065.25591397849,3456.89462365591,3258.75913978495,1058.32903225806,1406.15053763441,708.797849462366,757.384946236559,42880.8215053763,2649.12688172043,45529.9483870968,1814.08817204301,175.982795698925,2393.07096774194,6525.36774193548,6376.32258064516,405.425806451613,6146.1935483871,3073.15698924731,4581.18279569892,50036.5741935484,95566.5225806452,100147.705376344,3835.63440860215,122872.666666667,32.3469995020424
"BUKIDNON_2006",5.11267605633803,58672.058685446,1004.04694835681,2315.49295774648,2435.30516431925,527.856807511737,162.023474178404,4087.62441314554,200.469483568075,776.760563380282,3462.70187793427,5773.77464788732,23385.1126760563,1679.26291079812,297.638497652582,110.258215962441,7252.68544600939,1686.1338028169,1478.19014084507,2713.09154929577,0,13.8967136150235,1343.62441314554,39878.485915493,126118.291079812,17822.3474178404,6036.77230046948,6309.88028169014,3494.69953051643,5441.9014084507,3816.36150234742,1309.17605633803,1446.30516431925,1106.91549295775,977.854460093897,46620.8943661972,3112.74178403756,49733.6361502347,2672.71361502347,274.31220657277,2325.21596244131,5599.59154929577,7191.49295774648,320.577464788732,4296.9882629108,4632.14319248826,15205.4835680751,55410.2535211268,105143.889671361,120349.373239437,7913.00938967136,140111.5,49.8940844873164
"BULACAN_2006",4.78738839285714,100375.112723214,830.9375,28419.7622767857,7505.25892857143,1216.29464285714,117.241071428571,4566.34151785714,79.6875,46.9419642857143,1139.52008928571,5205.15959821429,5976.50334821429,2014.19866071429,784.858258928571,7.27678571428571,19368.5970982143,2484.25446428571,4609.69866071429,6365.30022321429,455.831473214286,879.743303571429,1843.75111607143,44765.0691964286,213378.264508929,15797.0044642857,12222.1785714286,7148.88504464286,6381.45089285714,6096.21875,7638.69866071429,1754.20870535714,2513.78236607143,887.2578125,2180.25892857143,60333.2377232143,12227.3604910714,72560.5982142857,4599.72098214286,231.690848214286,6642.20089285714,16495.59375,16377.28125,462.505580357143,8485.45200892857,3898.08147321429,20991.2410714286,110003.072544643,182563.670758929,203554.911830357,6642.4609375,229635.091517857,105.104888027874
"CAGAYAN_2006",4.62917933130699,51883.9726443769,1812.3282674772,13558.8905775076,4074.90729483283,485,594.765957446809,2890.56838905775,62.9179331306991,0,4018.41945288754,5158.70820668693,30019.329787234,2382.10334346505,1810.90121580547,127.579027355623,8700.20364741641,820.401215805471,784.585106382979,4004.21580547112,0,0,262.136778115501,48728.9422492401,142149.238601824,13649.1960486322,10363.8738601824,7422.70364741641,3552.18996960486,6242.09878419453,4208.74316109422,1702.96200607903,1458.21276595745,1168.44832826748,1256.88905775076,49170.7158054711,4158.67021276596,53329.3860182371,2289.94832826748,215.946808510638,2664.53799392097,8230.08510638298,8002.17629179331,481.629179331307,5885.49544072948,5224.03343465046,13862.0455927052,62225.6595744681,115555.045592705,129417.09118541,3648.16109422492,154560.939209726,42.8357474261895
"CAMARINES NORTE_2006",5.04504504504505,44390.8153153153,1743.06756756757,8592.79279279279,5729.48198198198,220.720720720721,19.1441441441441,4330.5,19.3693693693694,95.4054054054054,1970.7972972973,6806.53603603604,14195.2162162162,578.72972972973,1821.84684684685,817.031531531532,8946.50900900901,2196.38738738739,2776.32882882883,3800.77477477477,372.792792792793,0,813.833333333333,36263.5945945946,120834.927927928,15295.0540540541,6382.59009009009,7160.07207207207,4010.23873873874,6108.36936936937,4888.68468468468,1426.82882882883,1036.79279279279,679.301801801802,944.454954954955,47338.4234234234,4334.0045045045,51672.4279279279,2716.04054054054,219.977477477477,3632.8963963964,7933.08108108108,6461.05405405405,809.274774774775,7012.60810810811,3021.4954954955,10869.7837837838,60891.0630630631,112563.490990991,123433.274774775,5084.9054054054,129285.153153153,89.8863700604896
"CAMARINES SUR_2006",5.21491228070175,39914.8567251462,1509.97076023392,9322.58771929825,7667.42397660819,214.181286549708,108.845029239766,2032.9649122807,13.0847953216374,0,2552.24269005848,6402.88742690058,10616.1330409357,2140.33771929825,2271.04239766082,319.676900584795,6870.41666666667,568.323099415205,1889.69736842105,2263.89473684211,8.7719298245614,267.909356725146,305.497076023392,27428.2076023392,109651.516081871,16345.9634502924,4881.48538011696,6316.4283625731,3278.06725146199,4858.06578947368,4507.77777777778,1351.37573099415,907.751461988304,825.600877192982,1051.39473684211,43008.5160818713,2798.47076023392,45806.9868421053,2042.0701754386,192.821637426901,2856.04532163743,7454.71052631579,6981.63157894737,272.837719298246,4217.47368421053,3132.58625730994,9249.16374269006,56799.2105263158,102606.197368421,111855.361111111,4864.26023391813,118774.926900585,31.2952005259697
"CAMIGUIN_2006",4.95689655172414,75713.5172413793,3270.31034482759,20594.8275862069,3771.55172413793,0,0,13949.5862068966,12.0689655172414,0,3544.29310344828,5200.37931034483,7483.65517241379,1291.81034482759,1251.03448275862,102.413793103448,6614.60344827586,1483.81034482759,1244.03448275862,2073.27586206897,51.7241379310345,0,60.3448275862069,21656.7068965517,159704.965517241,15530.6206896552,7061.41379310345,7250.20689655172,5813.63793103448,4410.77586206897,4345.18965517241,1789.12068965517,1247.55172413793,964.137931034483,1347.77586206897,48164.4310344828,1750.93103448276,49915.3620689655,2060.77586206897,222.396551724138,9030.22413793103,7442.27586206897,10550.3793103448,616.396551724138,6963.86206896552,5917.10344827586,24288.0172413793,88349.5862068966,138264.948275862,162552.965517241,19553.1379310345,190987.413793103,206.933619994625
"CAPIZ_2006",4.69538461538462,43752.7230769231,858.412307692308,21333.8153846154,5563.36615384615,427.230769230769,172.815384615385,2917.76615384615,216.446153846154,0,4590.85846153846,7113.58769230769,11424.6,976.033846153846,5969.78461538462,664.649230769231,18783.5076923077,364.270769230769,3587.89538461538,1281.46461538462,0,638.092307692308,45.7784615384615,43736.0769230769,142767.929230769,16817.3938461538,6332.07076923077,9020.42461538462,3934.80307692308,5041.43692307692,4403.44615384615,1629.38769230769,1760.32,1410.12307692308,1161.27076923077,49438.96,5851.11076923077,55290.0707692308,4097.69846153846,230.581538461538,3935.69846153846,7809.52615384615,7839.69230769231,712.055384615385,5107.08923076923,4487.44,14959.5938461538,66907.4553846154,122197.526153846,137157.12,4153.80615384615,152174.486153846,65.9035726673604
"CATANDUANES_2006",4.88495575221239,37267.4424778761,1118.00884955752,11964.6017699115,9550.00884955752,296.176991150442,1730.66371681416,12080.9026548673,39.3982300884956,1.76991150442478,4147.01769911504,6162.49557522124,11906.8318584071,8721.08849557522,3485.28318584071,518.778761061947,11347.017699115,2470.9203539823,3846.83185840708,2181.47787610619,0,39.8230088495575,132.743362831858,44648.3185840708,136143.088495575,15370.6283185841,6007.72566371681,8589.51327433628,3811.91150442478,6354.42477876106,6037.79646017699,1703.33628318584,1284.37168141593,979.212389380531,1519.37168141593,49838.2123893805,2218.03539823009,52056.2477876106,2303.06194690265,384.575221238938,3319.06194690265,7723.00884955752,5384.28318584071,684.929203539823,2729.3185840708,3514.6814159292,19485.2831858407,59705.3362831858,111761.584070796,131246.867256637,5844.9203539823,149726.725663717,124.17823228634
"CAVITE_2006",4.76155580608794,125728.455467869,337.643742953777,39114.214205186,8192.29312288613,2423.05524239008,121.135287485908,4170.51634723788,62.7959413754228,18.7711386696731,389.510710259301,4629.0428410372,3856.09019165727,417.727170236753,1117.62570462232,0.338218714768884,20248.0417136415,2724.09808342728,7629.7305524239,5766.50732807215,0,777.903043968433,867.859075535513,43353.8917700113,253893.862457723,17037.9571589628,15266.4487034949,9324.59301014656,6776.99774520857,7705.05073280722,8722.70800450958,1954.91093573844,3478.59301014656,901.605411499436,2037.40924464487,71033.214205186,17044.4261555806,88077.6403607666,5116.75648252537,223.514092446449,4766.09357384442,18186.1894024803,23300.9154453213,663.496054114994,11840.5152198422,5599.45434047351,20052.9515219842,136344.803833145,224422.444193912,244475.395715896,4901.41375422773,271969.0789177,66.1894255646736
"CEBU_2006",4.86422553467272,75735.6889176928,551.01231367466,16350.9734283863,5060.51717433571,1847.49837977965,222.457550226831,4178.09267660402,41.6072585871679,121.48541801685,1250.46143875567,4792.24044069993,3323.51976668827,1196.93778353856,1901.81011017498,106.930006480881,16181.9617627997,1410.04082955282,2612.99222294232,2903.26766040181,42.4108878807518,508.230719377835,1533.21905379132,31710.7517822424,157956.478289047,15831.9637070642,9624.03175631886,9036.79196370706,4770.32728451069,4879.77187297472,6130.79131561892,1382.23720025924,2580.28580686973,1167.97148412184,902.713545042126,54767.0771224887,7325.74011665586,62092.8172391445,2698.28062216461,168.685029163966,4435.29941672067,9324.45884640311,10959.0641607259,531.907971484122,5555.53985742061,2969.28580686973,7570.9157485418,75889.6746597537,137982.491898898,145553.40764744,4699.60466623461,170122.267660402,25.1088641703922
"COMPOSTELA VALLEY_2006",4.71212121212121,45033.4511784512,1611.15824915825,5516.16161616162,1665.99326599327,327.609427609428,461.912457912458,781.212121212121,0,0,2548.6936026936,1540.57912457912,14375.9259259259,1818.69696969697,1.75084175084175,714.239057239057,9555.37037037037,1250.57239057239,844.754208754209,2392.28282828283,3943.85858585859,554.545454545455,652.356902356902,36094.0168350168,102109.878787879,16390.7878787879,7467.56902356902,7692.30976430976,3591.55892255892,4783.28956228956,3584.35016835017,1303.79461279461,1501.80134680135,1110.95286195286,1193.28282828283,46979.2558922559,1739.99326599327,48719.2491582492,1928.08754208754,154.117845117845,2112.83164983165,6079.93939393939,4896.38383838384,178.703703703704,2416.76767676768,3640.88215488215,9535.75084175084,42700.7205387205,91419.9696969697,100955.720538721,5018.46464646465,111891.720538721,98.4918436441982
"COTABATO_2006",4.63059033989267,34649.4991055456,2649.16994633274,4933.77638640429,2695.86583184258,430.196779964222,197.275491949911,2629.70661896243,64.4007155635063,180.672629695886,3373.78711985689,3563.16636851521,29376.9731663685,1982.22003577818,231.932021466905,32.4543828264759,4012.9481216458,423.593917710197,1610.33631484794,1992.13774597496,0,109.266547406082,1004.21824686941,40769.114490161,102170.46332737,15128.3864042934,4004.86762075134,6010.95706618962,2521.88729874776,4598.14847942755,3394.39713774597,1347.96422182469,1271.52772808587,783.159212880143,1178.12880143113,38829.9588550984,2428.28264758497,41258.2415026834,2136.18425760286,244.552772808587,2659.77638640429,4991.66726296959,4299.90697674419,189.908765652952,3048.90161001789,2935.00894454383,7606.77817531306,39550.6189624329,80808.8604651163,88415.6386404293,3827.50089445438,110912.314847943,59.8708871303623
"DAVAO DEL SUR_2006",4.67611524163569,67293.4869888476,1847.59758364312,13345.5557620818,4059.59107806691,2061.47769516729,119.653345724907,3312.6217472119,108.773234200743,95.771375464684,2195.9563197026,4937.52230483271,9126.50371747212,1363.96747211896,1450.67750929368,101.110594795539,14888.1040892193,1413.0436802974,4677.49442379182,2672.89869888476,44.7026022304833,296.942379182156,1451.24535315985,37464.1682156134,150649.909851301,15654.6143122677,8414.54832713755,7446.47583643123,4329.47397769517,5073.02695167286,5084.98048327138,1573.71282527881,1927.88940520446,1239.06691449814,1341.56691449814,50056.6505576208,5309.43215613383,55366.0827137546,3170.093866171,301.312267657993,3346.07434944238,8610.3624535316,10997.0576208178,398.146840148699,5872.82434944238,4245.82249070632,10138.1775092937,72169.9544609665,127536.037174721,137674.214684015,7925.0436802974,165323.903345725,67.5871137409599
"DAVAO ORIENTAL_2006",4.88116591928251,33453.8878923767,2020.69955156951,3273.54260089686,3138.12107623318,325.560538116592,13.8116591928251,3702.95964125561,0,753.183856502242,3096.08520179372,2980.40807174888,18759.1479820628,1441.89237668161,1586.7668161435,1019.65919282511,6472.08520179372,1380.98206278027,300.300448430493,5395.65022421525,0,82.8699551569507,148.309417040359,36587.66367713,93970.4977578475,16640.0403587444,3881.54260089686,7989.67713004484,2397.38565022422,3829.14349775785,3188.67264573991,1116.60089686099,955.143497757848,1144.11210762332,1282.0269058296,40619.2914798206,1693.18385650224,42312.4753363229,1908.35874439462,179.502242152466,2723.24215246637,4199.03139013453,3749.35426008969,220.367713004484,3461.2600896861,3435.88340807175,16523.5246636771,39162.3901345291,81474.865470852,97998.3901345292,10097.8968609865,109460.367713004,96.2539021852237
"EASTERN SAMAR_2006",5.25116279069767,51543.2139534884,2003.48837209302,26372.2046511628,5513.57674418605,998.641860465116,158.186046511628,1859.20930232558,37.2558139534884,3.93488372093023,1847.0511627907,4365.16279069767,13764.6930232558,1684.39534883721,6704.66511627907,552.972093023256,10519.7255813953,733.274418604651,862.590697674419,2245.95813953488,299.237209302326,46.5116279069767,1050.17674418605,38464.0604651163,143715.381395349,16305.1348837209,3684.33953488372,7836.83720930233,2927.9023255814,3999.83255813953,4625.52093023256,1071.70697674419,1235.67441860465,1147.08837209302,950.437209302326,42536.4744186047,1466.04186046512,44002.5162790698,3439.32558139535,514.986046511628,4323.75348837209,6607.22790697674,5697.6,1049.38604651163,6452.74418604651,3303.72558139535,13963.6558139535,70111.3348837209,114113.851162791,128077.506976744,6752.9488372093,158111.730232558,57.4099476705787
"GUIMARAS_2006",4.66666666666667,39078.8939393939,0,10709.0909090909,7396.9696969697,777.272727272727,17.2121212121212,3875.18181818182,0,0,5017.28787878788,4552.13636363636,6251.37878787879,3169.5303030303,7163.89393939394,924.151515151515,2149.93939393939,302.636363636364,206.060606060606,2218.33333333333,87.8787878787879,0,0,22473.803030303,105639.393939394,17480.2727272727,4353.98484848485,7129.10606060606,2656.69696969697,4573.37878787879,4065.65151515152,1555.07575757576,1324.72727272727,1294.39393939394,871.606060606061,43653.2272727273,2697.92424242424,46351.1515151515,1932.81818181818,130.621212121212,2115.68181818182,6201.45454545455,5177.54545454545,257.984848484848,3251.75757575758,3174.98484848485,5173.75757575758,49291.0757575758,95642.2272727273,100815.984848485,2440.90909090909,109600.075757576,196.183821553346
"IFUGAO_2006",4.71306818181818,36376.4318181818,2584.52272727273,4733.6875,3385.56818181818,143.75,181.698863636364,755.113636363636,87.2727272727273,0,6054.82386363636,5721.77272727273,37683.0340909091,2612.92045454545,615.340909090909,0,6851.75568181818,4013.96590909091,2091.15909090909,3910.64772727273,485.795454545455,645.113636363636,215.539772727273,59125.2727272727,126089.460227273,16830.2727272727,7168.39772727273,4795.02272727273,2057.19886363636,6728.82954545455,3172.19318181818,884.454545454545,950.130681818182,1238.64772727273,913.630681818182,43698.5965909091,1041.27272727273,44739.8693181818,3043.74431818182,306.761363636364,2581.8125,6786.95454545455,3964.39772727273,338.022727272727,7000.49431818182,4815.75568181818,17961.2840909091,55350.8920454545,100090.761363636,118052.045454545,7384.68181818182,150323.602272727,92.2068164742846
